,Left Knee Max Mean Stand2Sit,Right Ankle Max Sd Stand2Sit,Left Hip Min Ang Vel Sit2Stand,Right Hip Max Mean Stand2Sit,Right Hip Min Ang Acc,Pelvic Avg Speed,Number of Medical Conditions
71,3.619678489,2.453324363,4.411934128,5.361846431,7.380782182,8.629363631,5.660765732
72,2.188105365,2.897992686,3.366521749,6.652428906,5.428552287,6.491320702,5.548235091
73,4.404566691,4.734787547,3.923144183,3.805752956,5.288528331,6.394718257,6.862018548
74,3.334432178,4.688001964,5.223032365,5.651123395,7.810018151,6.818873469,5.932973607
75,5.313709499,5.659289317,2.379262853,8.277899925,6.859367439,7.537047934,8.087579912
76,3.813945879,6.758157363,5.635879285,6.641874221,7.566833225,7.993785482,10.31851948
77,3.275916674,3.442590635,3.814885557,5.886726468,7.3233301,7.917343786,7.650431406
78,4.349274797,4.408580188,4.678502652,4.980963133,5.705055131,6.051138461,9.221847594
79,2.499696895,5.646932265,2.521871923,7.679906864,6.520442093,5.859897407,6.640788445
80,2.639369901,3.414427589,3.89091817,5.772843136,5.976887684,6.018860782,7.758588403
81,2.558575315,3.301226797,3.048763897,8.037687288,6.780812387,6.614605678,8.116807559
82,5.107572332,4.83825925,2.403597265,6.440532514,6.888678512,8.932523944,7.510868775
83,1.703362156,4.586326788,4.6765608,5.628076967,4.174322907,5.979653548,8.899557209
84,3.323643744,3.938436626,4.882086867,9.149160214,5.656526082,6.691376406,7.02307636
85,3.092025978,4.182439832,4.476979358,4.384606991,7.229773784,6.475761164,6.746651265
86,3.097936472,2.660697488,4.843911607,6.736587142,8.354894677,7.263317654,8.344609221
87,2.503373926,4.089744033,4.036801625,4.463628472,7.375876953,7.766161754,7.280040765
88,4.080222054,3.860690609,4.358358822,5.796687755,5.722055878,9.053419241,9.968691501
89,3.24574932,3.30353348,3.247077053,5.0283259,8.357073498,7.891579745,7.397072944
90,2.502826504,5.168165811,2.211662428,6.194772373,5.140008414,5.17126002,4.930687195
91,4.732522627,3.616039013,3.483870156,8.232876889,5.785840379,7.661981492,6.049162769
92,4.117225848,6.1895664,3.756916064,7.819322801,7.116865359,6.790429288,7.702158532
93,2.782830355,2.867854249,5.524298717,10.22955505,8.491287686,9.220213674,10.34079417
94,4.311990138,0.918614936,5.649800837,6.905724527,7.83344098,7.707193376,8.643123574
95,4.089905083,2.311675358,5.515622285,7.325579104,7.404856092,8.073074686,6.890688035
96,2.92719629,3.039950455,3.353550434,6.625675307,6.576159217,5.296137402,5.389776825
97,5.199792742,5.10390157,5.316657311,6.498559695,6.130925035,6.649745262,7.309937223
98,3.160801568,3.745868144,6.566907366,6.548146608,6.52010059,8.115662897,9.746534381
