"","shadowMax","shadowMin"
"1",4.11418590382746,-2.36395366125944
"2",3.54545019907155,-2.29601181176602
"3",3.67380659484532,-2.45916298979392
"4",2.9943474279628,-2.54839447083502
"5",3.63627541376201,-2.32569440157774
"6",3.42143179917228,-2.37631698601306
"7",4.48434482762271,-2.71210569156659
"8",2.73012943199872,-2.46003478476626
"9",5.34171233878279,-2.52386547192836
"10",3.80802241720794,-2.82516316676917
"11",3.01714258475211,-2.39539118291928
"12",4.64615567492674,-2.50653535639334
"13",4.37256170766849,-2.3733943759637
"14",3.78750662878496,-2.73822405491678
"15",1.31205941089756,-1.55967654762145
"16",1.78735933744412,-2.5236468730276
"17",2.61830594332506,-3.14609610525743
"18",6.08170805434998,-0.558112045929442
"19",-0.0118601452579978,-4.08771028354999
"20",4.21754709023256,-1.9650827174419
"21",2.15574399886667,-2.78353305607225
"22",1.38932328522701,-1.53033777624925
"23",2.54691967975592,-0.609267291911093
"24",2.82239620175885,-1.52235150160836
"25",1.37077902252311,-2.81471558492975
"26",2.13352885344115,-3.10320802238463
"27",2.07692409874127,-2.18968736049486
"28",7.53770044051731,-2.07316429415844
"29",4.16448512488915,-1.21161280299906
"30",2.32481779621365,-2.98569521722571
"31",3.32703329658017,-2.43410660679006
"32",1.68129225389201,-1.05691188248614
"33",1.90347685554681,-2.64370352260766
"34",1.20063985534486,-3.07526239484265
"35",1.8704918768693,-1.63413662972165
"36",3.29564523568587,-1.71991506891704
"37",2.46608409160426,-0.860756997348607
"38",1.68669897177916,-0.525669684283879
"39",1.20428600788634,-2.6100104765443
"40",2.12687530255622,-2.31429351498183
"41",0.837658057860408,-2.47261426073803
"42",1.36096880087536,-2.43013379397215
"43",2.00887361282647,-3.03227615219073
"44",4.18790609639989,-1.25036469696011
"45",3.16443105495306,-2.28709532891487
"46",-0.139583682848759,-1.96462188257353
"47",4.85659951119664,-1.32973193604928
"48",4.72399874924689,-2.3221543316691
"49",2.74886624681437,-1.80347795960023
"50",3.52526145754786,-3.27919727878989
"51",3.53327797664804,-1.93787140884861
"52",2.45569331556117,-1.58678109791119
"53",1.90154069255416,-2.98499847496877
"54",1.04875386278521,-1.98484353120889
"55",-0.239056615802458,-2.55438548015571
"56",0.731410173193778,-3.32400070345207
"57",1.93341174431032,-3.5525995598058
"58",1.76844678894883,-1.9100315154322
"59",1.39273202333102,-0.9521996227748
"60",4.61827005251264,-1.36529187667386
"61",1.35970454876449,-1.60842534394254
"62",0.558498283569124,-1.82316914493496
"63",3.28039397402337,-3.0497294976863
"64",4.68018930772322,-3.43564885954078
"65",2.97487875351,-3.21914742352116
"66",3.27766547774116,-1.04332408771672
"67",1.16989021572419,-2.59704646830212
"68",3.50684596838415,-1.59271036255088
"69",2.45973704070703,-1.77005525131859
"70",2.56284153752233,-1.77079847193561
"71",2.76270725876743,-2.10467906058874
"72",4.05833526961015,-2.20314993272375
"73",1.52631295980103,-2.0277702063963
"74",0.683656167102305,-2.1358561040016
"75",2.50688657303089,-1.57989363256484
"76",4.91056981101912,-1.06430554341185
"77",2.52396760446262,-2.23172904928443
"78",2.8257222257218,-3.25662088274988
"79",2.31744509126872,-2.98334782782263
"80",1.84227661142783,-2.17493643689521
"81",3.17783752836418,-2.47729373425337
"82",3.8095976587031,-3.65970643638813
"83",1.91671976068911,-2.1610990597407
"84",1.33717685159064,-1.57506756621234
"85",1.45871205532351,-2.81899422078348
"86",4.25635187587,-2.33694263759764
"87",1.72470112434663,-0.838479480119403
"88",0.103662652914472,-3.31775241071062
"89",5.22288503728488,-1.09966066137673
"90",2.9956655159242,-2.11870456922478
"91",2.2003988118933,-1.39297976691475
"92",2.91838209659096,-2.00679007171717
"93",2.56402763349177,-0.186926284851002
"94",0.636719032403362,-1.96955276626729
"95",2.57189822131892,-2.22302662617201
"96",0.655729820365842,-3.18728757422785
"97",1.90873505831842,-3.51502567060151
"98",1.56328869564725,0.201811608672116
