subjectid,lyapunovExponent,approxEntropy,sampleEntropy,MSE1,MSE2,MSE3,MSE4,MSE5,Ci,half_cycle_regularity,full_cycle_regularity,symmetry_1,symmetry_2
02MJoCiL,-0.046519799,0.230570277,0.17704226,0.065162956,0.121386287,0.194197351,0.245188835,0.303135816,0.929071245,0.500597384,0.32098075,1.559586935,0.179616634
0Srk33xU,-0.039200932,0.25145763,0.162360388,0.060900641,0.110982978,0.173510927,0.209917789,0.197217951,0.752530286,0.679930105,0.446435939,1.523018298,0.233494165
0nUjlcd7,0.003995622,0.170765244,0.123415146,0.053121604,0.105063295,0.161441279,0.227506861,0.280409313,0.827542351,0.735168783,0.502882507,1.461909636,0.232286276
15IPa5iS,-0.009764601,0.175868125,0.099843826,0.036393824,0.075597114,0.108821346,0.144772752,0.1889661,0.554551135,0.727959935,0.511628092,1.422830268,0.216331843
1O18MObh,-0.015433892,0.195173678,0.086226764,0.053831015,0.097507287,0.149934583,0.203217125,0.260601114,0.765091124,0.795686952,0.604413363,1.316461547,0.191273588
1ovgasC1,-0.037061371,0.252855698,0.168955276,0.093290539,0.147718135,0.186238994,0.155839869,0.147506137,0.730593675,0.728294025,0.49743532,1.464097936,0.230858705
1wXKj1Hr,-0.020702469,0.22324628,0.123402891,0.032890753,0.072708818,0.105325142,0.128143401,0.158131145,0.497199258,0.754453033,0.555237766,1.358792718,0.199215267
1y68rPwI,-0.269176939,0.183428457,0.11688675,0.045504842,0.09185766,0.153102022,0.219524531,0.28347154,0.793460595,0.590293888,0.432930173,1.363485212,0.157363715
2SV6hYB2,0.005246371,0.251317698,0.176478786,0.063325281,0.105095661,0.175521701,0.235496319,0.263065445,0.842504407,0.773888974,0.582752673,1.327988716,0.191136301
2geyDTFU,-0.221474152,0.595203596,0.566979386,0.089808487,0.156228711,0.215693186,0.25064647,0.26887274,0.981249594,0.377269126,0.276825151,1.36284266,0.100443974
3E8qiyD2,-0.043587224,0.199313227,0.1120315,0.048689545,0.106357869,0.133784807,0.168802464,0.163390182,0.621024868,0.670550199,0.533091147,1.257852813,0.137459052
3nkxadKi,-0.0350538,0.258325785,0.164718581,0.082563144,0.141358143,0.191119267,0.185592206,0.189242,0.78987476,0.715741538,0.560362654,1.277282726,0.155378884
3sWbPSJv,0.124268496,0.113031555,0.042119946,0.025324506,0.042412525,0.060742521,0.082538948,0.10310691,0.31412541,0.77349763,0.540575863,1.430877112,0.232921767
47x9mXqX,-0.043150055,0.41163042,0.340836646,0.083509003,0.151140009,0.232527667,0.31605277,0.381500828,1.164730277,0.402102353,0.286209408,1.404923604,0.115892945
4Lm6PzX2,-0.058555131,0.183611613,0.093363334,0.033150846,0.059653292,0.08152459,0.106288947,0.134848449,0.415466124,0.759626728,0.591426312,1.284397926,0.168200416
4OQQyQYB,-0.022528288,0.195030865,0.131877221,0.063163247,0.123842248,0.166235419,0.188052232,0.106294659,0.647587804,0.750789288,0.50189134,1.495919989,0.248897948
4RLH9WCs,-0.055933705,0.191181261,0.138339922,0.064220662,0.12463105,0.207991746,0.257829109,0.272866987,0.927539554,0.592403612,0.383478989,1.544813741,0.208924623
4WBQNF9z,-0.013171851,0.3345111,0.278500958,0.073776603,0.153727623,0.24149269,0.312826254,0.301475395,1.083298565,0.78233096,0.578043192,1.353412634,0.204287767
4b23aG2i,-0.043119107,0.316352476,0.226627152,0.057613242,0.110124677,0.137079593,0.1748916,0.179971379,0.659680491,0.720056816,0.480865779,1.497417466,0.239191037
4dh5A2nv,-0.021873751,0.23187826,0.244196961,0.113583983,0.117676295,0.103011718,0.129759227,0.125688215,0.589719438,0.661123772,0.481473373,1.373126342,0.179650399
5illwZ0w,0.009036065,0.196781973,0.140982259,0.052447798,0.100291255,0.156814457,0.224995594,0.272866987,0.807416091,0.790685006,0.58538156,1.35071731,0.205303446
5msHe2ZM,-0.067270081,0.268584339,0.180387183,0.095072791,0.236124263,0.350013804,0.353931458,0.271933715,1.307076031,0.465284424,0.239033614,1.946522984,0.22625081
5y8S8nC6,-0.04209255,0.245261321,0.198617196,0.063631696,0.120702746,0.183196393,0.222512437,0.193467783,0.783511055,0.737227032,0.511106292,1.442414313,0.226120739
6HTqE41x,0.013832226,0.288859798,0.189330069,0.053985555,0.08279582,0.130513815,0.16593632,0.219609498,0.652841009,0.789504726,0.60079286,1.314104708,0.188711866
6MFubdNK,-0.154328748,0.238670051,0.133726451,0.064128126,0.106864466,0.178423716,0.216396056,0.26891197,0.834724334,0.597056513,0.41987678,1.421980307,0.177179733
6PBhAWnI,-0.068576284,0.233298431,0.169422938,0.072500381,0.115898021,0.182321557,0.194691604,0.217268587,0.78268015,0.648167943,0.359782338,1.801555759,0.288385605
6U6mieI8,-0.002714554,0.219925753,0.160174209,0.081228081,0.14110051,0.199542155,0.234839591,0.158089243,0.81479958,0.794011432,0.602949696,1.316878401,0.191061736
7Vgougy8,-0.065984303,0.353419406,0.412875044,0.095964969,0.115754076,0.136361138,0.098580829,0.123613956,0.570274968,0.628081608,0.428699478,1.465086011,0.19938213
89hcos29,-0.045199545,0.262051529,0.239800105,0.092360558,0.181365077,0.220671362,0.178248231,0.124562723,0.797207951,0.767553615,0.585404494,1.311150875,0.182149121
8CHx7D0i,-0.041652593,0.204001385,0.117527575,0.054784761,0.094543798,0.146512452,0.20986902,0.255290577,0.761000608,0.738719112,0.573263243,1.288621102,0.165455869
8S2DLkDz,-0.041679761,0.296529769,0.221045893,0.084653462,0.15415068,0.253617853,0.261758387,0.175093854,0.929274236,0.72922736,0.523840735,1.392078376,0.205386625
8dLqK0KT,0.020553496,0.285004476,0.185320949,0.08706888,0.166229385,0.281364932,0.266628663,0.263814591,1.065106451,0.790915547,0.592613592,1.334622691,0.198301955
8elUiJYv,-0.08701108,0.335096945,0.259985534,0.062563544,0.111285397,0.144066561,0.15866536,0.133008243,0.609589105,0.599720926,0.417734925,1.435649474,0.181986001
8qkEAiHL,-0.030404798,0.276586868,0.260296578,0.088291271,0.143028652,0.192041025,0.143100844,0.03509132,0.601553111,0.786794209,0.588135761,1.337776516,0.198658448
8t6W3ykG,-0.003307669,0.388974917,0.400126067,0.105105288,0.159276268,0.189678395,0.133531393,0.070617567,0.658208911,0.670051619,0.411967874,1.626465708,0.258083746
98l8KpqV,-0.03315338,0.29891372,0.248175264,0.077707374,0.157367841,0.264455222,0.32661387,0.2095173,1.035661606,0.743821474,0.556499122,1.336608531,0.187322352
9Ex5Byum,0.002010843,0.250003174,0.125694018,0.06084945,0.103810018,0.134619942,0.158886964,0.179937765,0.63810414,0.759886196,0.558305907,1.361057058,0.201580288
