subjectid,lyapExp,appEntropy
XG46gE0Y,0.672146897,0.545324621
X5kmXm2t,0.667229055,0.543327178
BFP7TMfA,0.649598261,0.377140828
kGiGTaIW,0.646223645,0.256547432
zGObVmrM,0.639346891,0.432572999
5illwZ0w,0.634717291,0.466593595
dG40RNan,0.629141986,0.530824484
j3iTbhie,0.623204695,0.394934344
pHIS8pPt,0.620690121,0.381324792
GESYi2xq,0.61960771,0.371930367
gkyOGI21,0.595401901,0.43215974
d4F5xQy9,0.594649133,0.357541424
47x9mXqX,0.593372946,0.297655129
HAKCEJWo,0.593114107,0.580646137
kFPZtJof,0.556768481,0.372172522
TQyNNoOf,0.551619314,0.400202259
H1SDVD0X,0.549879025,0.506973305
obDMup1i,0.528541327,0.53032712
yMjX098h,0.527371555,0.35160616
Ni69ryle,0.525645309,0.337143842
wQKnlZmx,0.485319609,0.373037068
Dkjr9F7k,0.473491366,0.35534797
o9xCf7YI,0.462965106,0.414544081
yQpqLCPL,0.457661544,0.546798488
k3YTjMU4,0.449859152,0.436425621
ESzlIzyO,0.442506431,0.434229183
xgN0wuHW,0.434614052,0.347018529
4dh5A2nv,0.427532311,0.265720306
G0vvcncN,0.397282188,0.412457469
L2GIBJN1,0.378499948,0.558436253
3E8qiyD2,0.337906185,0.56141911
HWfZASLi,0.335690219,0.466314407
VN1pIYPc,0.332485969,0.286522213
bFIh8shd,0.307525924,0.515668527
jS1r3uGd,0.306969378,0.290182735
FDzVFOBn,0.300229466,0.323549948
hsX5kAeZ,0.274527877,0.269509719
g9WGBFnV,0.26582655,0.488262332
iJsDlll8,0.257000275,0.350414977
oE7OaXfV,0.254559886,0.323991101
Rxka2Dfe,0.252687963,0.451315583
JoT31ute,0.233295708,0.331085023
UWhrbKTC,0.222123303,0.228504983
A5ya7RsN,0.219576665,0.438990313
gXhE9VUw,0.186668476,0.508515068
iIzgYYRS,0.176646689,0.485917989
8dLqK0KT,0.160226723,0.57549938
vbBOikks,0.155727248,0.459669624
Ycmah3Py,0.148526632,0.282042757
hKEWIYx3,0.132498085,0.437924234
1y68rPwI,0.078160288,0.422478599
x6NSfgSJ,0.072868383,0.347711351
PftjeXxz,0.066806694,0.360184028
8elUiJYv,0.01332647,0.330115859
MKMvRw1P,-0.00125413,0.340247121
a6j4D1CL,-0.009327017,0.427359329
9Ex5Byum,-0.047534949,0.496549402
hxJw9Wjr,-0.056315626,0.428274505
EQSaAnPk,-0.056986608,0.2035783
7Vgougy8,-0.122662251,0.324574899
nyRH10Bw,-0.123609779,0.508695005
iqQ28Zc4,-0.139577932,0.3054564
