subjectid,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20
HAKCEJWo,0.027033031,0.059229492,0.08466777,0.114900359,0.151363284,0.183573905,0.210146063,0.237344173,0.258201009,0.255933374,0.28457165,0.161268148,0.194156014,0.08834917,0.050219757,0.046883586,0.047754431,0.057158414,0.033901552,0.046520016
HWfZASLi,0.052223716,0.084151266,0.125649616,0.184225866,0.245373022,0.259844918,0.269594954,0.304489191,0.249811798,0.163039627,0.126999691,0.09237332,0.049392755,0.062131781,0.048202102,0.068053463,0.040005335,0.033901552,0.064538521,0.120627988
HpYl7dTS,0.06154862,0.104629912,0.165334616,0.247669777,0.28563079,0.227318923,0.255246797,0.211309094,0.157003749,0.184734103,0.169899037,0.15123097,0.115831816,0.10724553,0.15082289,0.198450939,0.075985907,0.129211731,0.188052232,0.230523659
IpAvcDzr,0.084474931,0.166247226,0.213500275,0.240808387,0.173663494,0.123613956,0.147635999,0.120627988,0.05942342,0.075985907,0.074107972,0.039220713,0.117783036,0.223143551,0.15415068,0.336472237,0.182321557,NaN,1.386294361,Inf
J8qdjHy8,0.049322929,0.101908302,0.14432685,0.179850777,0.209857715,0.152340725,0.132311136,0.18099793,0.070204259,0.088947486,0.10146946,0.133531393,0.202236866,0.279584862,0.164303051,0.182321557,0,0.139761942,0.379489622,0.143100844
JFoDIM9T,0.076727275,0.129168207,0.18050832,0.184596871,0.152016207,0.148845628,0.1198012,0.074107972,0.078780878,0.093818755,0.075507553,0.043485112,0,0.105360516,0.087011377,0.060624622,0,0.15415068,0.15415068,0.693147181
JKDP8D2e,0.119429275,0.197704214,0.286663224,0.364930925,0.427444015,0.541130973,0.267062785,0.198450939,0.133531393,0.167054085,0.088947486,0.09531018,0.167054085,0.09531018,0.262364264,0.287682072,0.182321557,0.182321557,0.182321557,0.287682072
JNh9mTC7,0.05010747,0.090465717,0.127208583,0.161818894,0.182321557,0.287682072,0.233448835,0.169899037,0.163039627,0.110143579,0.077777701,0.067658648,0.071825735,0.064538521,0.096460266,0.126293725,0.090971778,0.11506933,0.064538521,0.115512887
JOmsdP6A,0.051015932,0.106738013,0.144634667,0.189453528,0.234671056,0.216148634,0.151106537,0.104879631,0.074107972,0.088728116,0.061243625,0.055262679,0.082238098,0.087011377,0.141078598,0.098440073,0.068992871,0.071458964,0.30538165,0.15415068
JUvMRml6,0.061789164,0.111142184,0.161368843,0.193835399,0.206576477,0.198069914,0.138998875,0.147635999,0.218253566,0.188794071,0.238411023,0.287682072,0.24613307,0.233614851,0.197825743,0.204794413,0.262364264,0.310154928,0.223143551,0.916290732
Jbr8myiV,0.022361264,0.048880702,0.072563683,0.090554106,0.112071224,0.13720981,0.159877252,0.185717146,0.202524264,0.226546844,0.228673519,0.249520706,0.262942466,0.259388564,0.171653115,0.189042657,0.121077932,0.115630182,0.155414104,0.101782694
Je470A3u,0.065054245,0.12360697,0.190978349,0.255859891,0.298044859,0.328173434,0.191538212,0.180126166,0.096460266,0.039740329,0.026668247,0.030771659,0.032789823,0.067441281,0.03509132,0.025317808,0,0.03509132,0.042559614,0.207639365
JoT31ute,0.032440672,0.070874684,0.105062957,0.129411074,0.17651771,0.186307791,0.202173325,0.202109397,0.140876149,0.119021426,0.084993213,0.066061751,0.07365291,0.049056157,0.06500483,0.043172172,0.045985113,0.075035186,0.068992871,0.093526058
Jz7HcSm7,0.081544092,0.139498048,0.202558914,0.197359434,0.12899212,0.122602322,0.131336002,0.260283098,0.189242,0.15415068,0.302280872,0.348306694,0.287682072,0.405465108,0.538996501,0.693147181,NaN,Inf,Inf,Inf
K7pXSGJ9,0.054678963,0.097217675,0.131513228,0.175342708,0.222088513,0.228201163,0.321446252,0.297142881,0.256804834,0.227057451,0.230261019,0.145711811,0.127833372,0.100804699,0.130361818,0.051293294,0.105360516,0.115831816,0.100083459,0.262364264
KHDHZ4c5,0.014460132,0.028530129,0.044278824,0.062063585,0.080427921,0.095101098,0.101355562,0.108176028,0.118041761,0.130845735,0.14792013,0.16823542,0.160436056,0.180987334,0.182636567,0.179553115,0.167257027,0.179427199,0.160459849,0.170479723
KNaNAjLP,0.059271002,0.110075917,0.175518809,0.25187262,0.292432675,0.35364004,0.291611351,0.356674944,0.229185866,0.145953913,0.179048231,0.09237332,0.101096117,0.09531018,0.081678031,0.129211731,0.122602322,0.042559614,0.044451763,0.117783036
Kc2t70BJ,0.07533999,0.141402006,0.22517342,0.276489532,0.339403357,0.299084705,0.261215499,0.246860078,0.133531393,0.175204089,0.197825743,0.223143551,0.173271721,0.191055237,0.125163143,0.167054085,0.236388778,0.236388778,0.241162057,0.223143551
KmpRQuJD,0.059122866,0.098309189,0.150780062,0.173523167,0.21217452,0.206083429,0.129677823,0.149035579,0.127833372,0.138836445,0.128381167,0.105360516,0.168622712,0.262364264,0.174353387,0.14518201,0.174353387,0.139761942,0.236388778,0.191055237
KyINSk8e,0.051947662,0.096968162,0.154943136,0.237723955,0.297754415,0.322168249,0.389071298,0.371563556,0.304660409,0.253448901,0.194156014,0.182321557,0.170957798,0.253780521,0.219362828,0.25489225,0.315081047,0.175890666,0.175890666,0.374693449
