,Left Hip Min Ang Vel Sit2Stand,Time Diff Sit2Stand,Left Knee Min Ang Vel Stand2Sit,Right Ankle Max Sd Stand2Sit,Time Diff Stand2Sit,Right Hip Min Ang Acc,Right Hip Max Stand2Sit,Speed,Time Stand2Sit,Neck Min Y Acc,Speed Stand2Sit,Right Hip Max Mean,Pelvic Avg Speed,Right Hip Max Mean Stand2Sit
35,2.99403702,3.751663656,5.242410693,5.088332864,5.032279394,4.313721026,5.808363714,6.235290976,5.870604713,6.090337071,5.722441833,5.66188908,7.526002015,6.805301178
36,3.474599408,4.828849102,2.880227899,5.707625636,5.934234624,4.587655732,5.87007364,7.50084145,6.316872856,6.868720896,6.443228034,6.324644814,6.56624342,6.956289076
37,3.384039128,5.109571604,3.517206186,5.302878877,5.158252078,5.180263585,6.746897658,5.204173445,5.521439843,5.599436808,5.691452331,6.699129574,7.770479014,7.059889397
38,4.412475286,3.724711189,6.469889879,2.440612279,3.817016547,6.665213246,5.213237614,5.043705044,5.444568603,5.938079053,5.392091685,6.377456369,5.395865579,6.429950758
39,1.604736285,2.946071429,6.036514689,5.217953026,5.05632682,4.549899981,3.994728177,4.367224547,6.388254078,6.335908543,6.256686522,6.950424358,8.710272947,7.189055948
40,5.135830339,3.167413165,4.017661851,3.915004248,5.19981634,6.753710223,4.682426649,5.93714501,5.345152745,4.963445945,5.439533009,6.75280097,5.353434679,8.005780338
41,4.926778081,4.223892459,3.608173231,3.383285757,4.754514376,5.531311189,4.845278754,6.339624948,5.361605464,6.049186378,5.653506882,6.448741213,5.220849828,8.019074476
42,6.550242902,2.960282931,2.923183339,4.380569344,5.725995855,3.326531013,4.530193844,5.441459166,5.873741559,4.281240958,6.656153072,6.0347416,7.510255587,6.172693579
43,4.809998921,2.959887951,2.843472026,4.493790297,3.839343206,5.591995404,4.58056749,5.205497549,5.084973012,4.849189948,5.382846668,4.72371523,7.043769729,4.754594841
44,4.185053749,3.645497657,6.359522402,5.74708152,4.196636708,5.234081555,4.295712443,6.2636406,4.409073178,6.637578677,4.678322377,6.821354939,5.241244553,7.489905211
45,4.451062305,5.334252403,4.125928554,6.301968976,4.874150524,3.10902153,5.288751652,6.306801846,5.604452902,4.851656374,5.874058357,6.03132263,6.256226693,7.090515237
46,2.421042255,4.537450234,4.537504754,3.835995608,5.081109302,4.067717469,6.242793259,5.195845691,5.274262572,5.781587944,5.949016718,7.724678574,5.06495403,7.55381501
47,3.722889336,3.583619496,5.187887541,3.560066515,4.327068084,4.61893227,4.733745375,4.409974039,7.160091282,6.393907582,6.624589001,7.200507982,8.269035046,5.882173544
48,3.075924135,3.614903882,3.638591653,3.714841256,5.272204657,3.874075864,3.714168816,3.705299159,5.424075678,6.125240969,5.94182197,5.188050915,7.364239612,6.45935039
49,2.856174936,2.906487021,4.383650417,3.634186812,4.944802243,5.121014859,4.725618891,5.736464475,4.568913774,4.90934376,5.504335209,6.634645612,7.179408961,6.700005919
50,3.953722022,3.868709684,3.906150677,3.874342637,3.859291868,3.230551443,5.639597482,4.381692296,5.175119124,4.972781161,5.49363803,5.983824324,7.032271752,7.004537156
51,3.269560896,3.887334451,4.978603945,4.666516907,3.914492351,4.918085592,4.978737576,4.876186084,5.604869934,6.09490431,5.500333337,5.369101464,6.748903838,6.526462625
52,2.717435552,4.176646322,5.355700995,3.746834591,5.665727273,4.831205136,3.188908515,5.702586662,6.302792844,4.886709444,6.248785846,4.488709365,6.515550696,6.746878935
53,3.848142276,2.720925818,4.095828792,4.501274656,4.200094853,6.458998214,4.323962417,4.799180449,4.24420215,6.332455265,6.01815076,6.616618214,6.165676089,5.873038957
54,2.324543241,3.553208283,4.086174734,4.942039355,3.931898574,2.952787508,4.666161156,4.858955521,5.525590848,5.823934145,6.942833144,6.190025772,6.267326922,7.81736045
55,3.643042506,4.701343397,4.637338632,5.08025235,5.190674848,5.857694253,5.811671375,6.435919559,7.419213264,6.924133487,6.348444022,5.875122586,7.738435923,7.412364053
56,3.699082984,5.499828137,3.214565051,3.189245181,5.289395786,4.562419733,5.181661067,5.479808821,4.878732763,5.177546957,5.110865807,6.827276805,7.876409971,7.521796499
57,4.327002663,3.312884506,3.272950778,5.421247806,4.591569682,3.045681453,4.571543693,6.091770088,5.422387407,6.675833718,6.420752589,6.610812844,7.481372175,7.894831937
58,4.571746902,4.305166365,3.257725313,4.391733819,4.741046783,5.460712866,4.92320043,5.76482941,5.576724525,6.261584742,5.914564223,6.795412139,6.771320839,7.935442314
59,2.233186655,2.558472114,5.067589317,3.310991407,5.870886385,4.856488026,4.688669523,5.706674139,7.257975517,6.773059809,6.847575839,4.869700687,7.050283216,7.602217555
60,5.064915199,4.825566055,3.888896963,4.200085467,5.545838779,5.317067819,5.851493245,6.145232458,5.538698031,6.208709498,6.640020928,7.702852143,6.632188691,8.570484894
61,3.443082761,4.153692207,3.497201576,2.909401818,4.008632292,3.850810476,5.613638046,4.486188989,5.501308754,5.278972418,5.790370322,5.917498765,5.371513419,6.46992114
62,4.836644538,4.36392347,4.320951026,3.223969508,5.781541869,6.669810158,4.188964125,5.18938298,6.493143568,5.315876107,6.67858535,6.893541288,6.093483972,5.77619222
63,2.11418333,4.326077528,5.742006062,4.541508714,5.828099244,5.55342154,5.266035746,4.384607513,5.767988695,6.672715931,5.986441102,7.081397133,6.5803805,6.642723892
64,5.294602468,3.73781653,2.975397182,5.548534761,5.305099834,4.046659785,4.116102928,5.179284079,5.631669876,4.747757505,6.636441291,7.223488412,6.12948296,6.314543424
65,3.28025028,5.518642817,6.224203599,5.120606722,5.396076382,6.147016388,5.86643528,4.630291133,6.075638026,6.261918777,6.729229782,7.823014167,7.159777176,6.570539755
66,6.028835748,3.088924243,4.286388516,7.909518933,4.27884289,3.078586173,5.114049103,6.665318026,5.716791664,4.24577865,5.684512982,6.599519789,7.484720822,7.189770483
67,2.576243335,3.364457392,3.486585835,7.365692227,3.821446031,4.097275974,5.843187104,5.206917216,5.497766455,6.104595227,6.374235418,5.912434765,5.452553493,6.931146395
68,5.708416046,4.272957448,3.942979449,3.556805931,6.657667219,4.340655331,6.65035088,5.617912299,6.187831582,4.626063198,6.425509757,8.487080838,8.939432983,8.973604037
69,4.976631577,3.20993001,4.236099876,6.292076904,5.044063767,5.69724437,5.725456769,4.162487706,6.104003991,7.55978418,6.695612687,6.215603692,7.533934445,7.342138219
70,3.542648312,4.198162338,5.306823,4.035826592,5.334714556,6.468752302,4.770093583,6.59264588,5.641020271,6.554015217,5.928269306,5.806560385,6.229378389,6.734708942
71,3.64389793,4.300807835,5.690478456,5.250115259,3.485050441,5.492657673,5.448111669,6.026043694,6.867537939,6.195999592,6.259502633,6.332504245,6.883061293,6.407627998
72,2.836236479,3.102486433,5.226783953,6.351504028,4.296134628,5.935729264,6.150044497,6.028894714,6.113910721,6.027130487,6.232298337,7.127601788,6.112608549,8.401657814
73,3.065894633,2.249652832,3.714022472,6.14670229,3.109795222,3.953110838,4.492082166,4.905938782,6.358569542,5.629319745,5.167493178,6.825943659,7.036268857,6.841966182
74,3.656989537,4.934619829,4.309284803,4.648920644,5.254117607,4.809740779,5.180591603,5.84452699,6.154611078,4.234979898,6.128872868,6.322003984,8.056398281,7.785096214
75,2.551614751,3.161342761,5.15621937,5.73195259,4.371583942,6.597096374,5.61653344,5.770095152,6.156987283,8.156090119,6.939387509,7.682158799,7.442992672,8.311820252
76,1.550152062,3.455727595,4.453150788,4.8767871,5.02093626,6.148336822,5.930902888,4.804673657,5.961707894,5.441618698,6.402998726,6.720278934,6.503210061,6.61399495
77,2.7278435,3.0758365,4.443885456,4.637976044,5.525274308,6.079441685,6.243400301,5.68478209,5.533785952,5.709473056,5.574464009,6.508158893,7.634829754,7.3140573
78,4.58824188,3.758939443,3.559029323,4.538947463,4.524318718,4.644241706,5.947592409,5.533182216,5.53269123,5.223489266,5.601943752,7.222435677,7.439175723,7.773118583
79,1.569289748,4.896803544,5.911675155,4.480035312,6.052183708,4.754575281,5.75964692,4.90590643,7.972690761,6.329261897,6.753036478,7.447182371,5.930643798,7.377255898
80,5.979316313,3.960363714,5.215252789,3.628249061,4.812639662,4.927623743,5.774723712,5.616093701,5.527969973,6.947922194,5.740696189,5.970975749,5.142785035,7.848113944
81,3.225256062,4.487669726,3.284982736,5.610380104,5.131712512,5.724270806,5.772636883,4.689300564,5.27093287,6.729198906,6.681168188,6.575412956,8.248647078,7.161383925
82,4.486779591,3.341603566,5.700890577,5.9413441,5.035424383,7.976380303,5.614303004,4.152795144,6.643354866,6.605923896,5.945715203,6.881392549,9.201169733,6.873768108
83,3.652395419,5.842620938,4.899418103,6.335420578,4.301899875,5.633539075,6.963626809,7.992188677,6.817719371,6.456705802,6.967816216,6.497819721,5.965879881,7.477175347
84,3.00426769,3.618406193,4.402284661,4.074946869,4.289919342,6.769679065,6.873203173,5.263033459,6.18136172,5.932774857,6.712552214,6.560157098,6.044846615,7.570508634
85,4.441549114,3.745177347,5.040436161,2.063303368,4.912337931,4.588147114,6.05773711,5.474237622,5.427864802,6.264300783,6.109102958,6.057673995,7.364818249,6.680546945
86,6.013860785,3.332234219,5.023189387,6.492277968,6.282623274,5.99966143,7.019928445,6.299674697,5.717137727,7.128073031,6.885399355,7.624820999,6.289029554,7.990964738
87,2.046165354,3.661438682,3.010377358,4.448155779,5.869432417,5.235461447,5.438801926,5.331936511,5.593569749,7.525691923,6.804653985,4.982369646,7.649902743,7.498584797
88,3.048475565,3.729323133,5.107282294,6.080608685,4.890772238,4.11645234,5.799808032,5.682938152,6.412339126,7.112312015,7.917896171,6.706659139,6.890592786,8.046439469
89,2.055155431,3.721295716,4.62651698,5.662239251,4.451361946,3.135349329,4.631819152,5.560366132,5.782544004,5.596905074,6.144692692,7.026749994,5.454772329,6.31530916
90,5.151363873,4.296437592,4.428675563,3.74573219,5.568695918,6.253894493,5.821462178,6.250557212,6.037945157,6.071328925,6.829383112,6.470586015,6.966810428,7.252697352
91,2.7737955,3.99258292,5.391229462,2.543328612,5.131927329,4.727512634,5.552881567,4.209052881,6.380561304,6.823359535,6.175044426,7.534874955,7.205225608,6.539266645
92,4.212772412,3.318427979,3.417149088,4.584638162,4.726913178,4.747502568,5.107557897,7.428684933,7.837284444,7.284923153,6.463185753,5.994018374,6.988680998,6.754018337
93,2.288571346,3.92234495,4.927678832,2.903369108,5.862493828,5.919148651,5.47441639,5.583192449,4.867555162,6.169326941,6.3994028,6.370180127,6.804759828,7.930501902
94,4.595803987,2.446367964,3.831825458,6.27937268,4.760442759,6.321101463,6.67014992,6.867303041,6.533764343,4.969326463,6.654660085,6.878861956,7.04913514,7.052166998
95,3.4282384,4.76985983,5.145806489,5.373870601,5.688717234,5.481560762,6.623662723,6.457213805,5.353176247,6.728283822,6.382037117,7.096018277,7.675539831,6.232549464
96,5.091296306,3.11589869,3.715883795,5.770687608,5.751048158,4.691743298,5.553728882,5.530645835,4.921163933,6.267254627,5.720941392,7.183442931,7.207749283,7.466022202
97,1.830362009,3.631171191,4.109931059,5.201159361,5.48344311,6.938555571,5.163286993,6.087182405,5.594517995,6.821607644,6.387606174,6.514669713,7.319611855,7.412639708
98,3.492625469,3.235302262,5.4653629,3.05734111,4.280501527,8.0488563,5.667258019,6.030727648,6.74615912,8.897794763,7.633651472,6.755861234,6.819252546,6.264014591
99,2.890208219,4.20251815,3.948007414,4.700878975,3.181230758,5.634403722,6.727802816,5.221407462,6.657007299,6.23918314,6.306506844,5.961034723,6.216107049,8.539752859
