subjectid,lyapunovExponent,approxEntropy,sampleEntropy,MSE1,MSE2,MSE3,MSE4,MSE5,Ci
02MJoCiL,-0.046519799,0.230570277,0.17704226,0.065162956,0.121386287,0.194197351,0.245188835,0.303135816,0.929071245
0Srk33xU,-0.039200932,0.25145763,0.162360388,0.060900641,0.110982978,0.173510927,0.209917789,0.197217951,0.752530286
0nUjlcd7,0.003995622,0.170765244,0.123415146,0.053121604,0.105063295,0.161441279,0.227506861,0.280409313,0.827542351
15IPa5iS,-0.009764601,0.175868125,0.099843826,0.036393824,0.075597114,0.108821346,0.144772752,0.1889661,0.554551135
1O18MObh,-0.015433892,0.195173678,0.086226764,0.053831015,0.097507287,0.149934583,0.203217125,0.260601114,0.765091124
1ovgasC1,-0.037061371,0.252855698,0.168955276,0.093290539,0.147718135,0.186238994,0.155839869,0.147506137,0.730593675
1wXKj1Hr,-0.020702469,0.22324628,0.123402891,0.032890753,0.072708818,0.105325142,0.128143401,0.158131145,0.497199258
1y68rPwI,-0.269176939,0.183428457,0.11688675,0.045504842,0.09185766,0.153102022,0.219524531,0.28347154,0.793460595
2SV6hYB2,0.005246371,0.251317698,0.176478786,0.063325281,0.105095661,0.175521701,0.235496319,0.263065445,0.842504407
2geyDTFU,-0.221474152,0.595203596,0.566979386,0.089808487,0.156228711,0.215693186,0.25064647,0.26887274,0.981249594
3E8qiyD2,-0.043587224,0.199313227,0.1120315,0.048689545,0.106357869,0.133784807,0.168802464,0.163390182,0.621024868
3nkxadKi,-0.0350538,0.258325785,0.164718581,0.082563144,0.141358143,0.191119267,0.185592206,0.189242,0.78987476
3sWbPSJv,0.124268496,0.113031555,0.042119946,0.025324506,0.042412525,0.060742521,0.082538948,0.10310691,0.31412541
47x9mXqX,-0.043150055,0.41163042,0.340836646,0.083509003,0.151140009,0.232527667,0.31605277,0.381500828,1.164730277
4Lm6PzX2,-0.058555131,0.183611613,0.093363334,0.033150846,0.059653292,0.08152459,0.106288947,0.134848449,0.415466124
4OQQyQYB,-0.022528288,0.195030865,0.131877221,0.063163247,0.123842248,0.166235419,0.188052232,0.106294659,0.647587804
4RLH9WCs,-0.055933705,0.191181261,0.138339922,0.064220662,0.12463105,0.207991746,0.257829109,0.272866987,0.927539554
4WBQNF9z,-0.013171851,0.3345111,0.278500958,0.073776603,0.153727623,0.24149269,0.312826254,0.301475395,1.083298565
4b23aG2i,-0.043119107,0.316352476,0.226627152,0.057613242,0.110124677,0.137079593,0.1748916,0.179971379,0.659680491
4dh5A2nv,-0.021873751,0.23187826,0.244196961,0.113583983,0.117676295,0.103011718,0.129759227,0.125688215,0.589719438
5illwZ0w,0.009036065,0.196781973,0.140982259,0.052447798,0.100291255,0.156814457,0.224995594,0.272866987,0.807416091
5msHe2ZM,-0.067270081,0.268584339,0.180387183,0.095072791,0.236124263,0.350013804,0.353931458,0.271933715,1.307076031
5y8S8nC6,-0.04209255,0.245261321,0.198617196,0.063631696,0.120702746,0.183196393,0.222512437,0.193467783,0.783511055
6HTqE41x,0.013832226,0.288859798,0.189330069,0.053985555,0.08279582,0.130513815,0.16593632,0.219609498,0.652841009
6MFubdNK,-0.154328748,0.238670051,0.133726451,0.064128126,0.106864466,0.178423716,0.216396056,0.26891197,0.834724334
6PBhAWnI,-0.068576284,0.233298431,0.169422938,0.072500381,0.115898021,0.182321557,0.194691604,0.217268587,0.78268015
6U6mieI8,-0.002714554,0.219925753,0.160174209,0.081228081,0.14110051,0.199542155,0.234839591,0.158089243,0.81479958
7Vgougy8,-0.065984303,0.353419406,0.412875044,0.095964969,0.115754076,0.136361138,0.098580829,0.123613956,0.570274968
89hcos29,-0.045199545,0.262051529,0.239800105,0.092360558,0.181365077,0.220671362,0.178248231,0.124562723,0.797207951
8CHx7D0i,-0.041652593,0.204001385,0.117527575,0.054784761,0.094543798,0.146512452,0.20986902,0.255290577,0.761000608
8S2DLkDz,-0.041679761,0.296529769,0.221045893,0.084653462,0.15415068,0.253617853,0.261758387,0.175093854,0.929274236
8dLqK0KT,0.020553496,0.285004476,0.185320949,0.08706888,0.166229385,0.281364932,0.266628663,0.263814591,1.065106451
8elUiJYv,-0.08701108,0.335096945,0.259985534,0.062563544,0.111285397,0.144066561,0.15866536,0.133008243,0.609589105
8qkEAiHL,-0.030404798,0.276586868,0.260296578,0.088291271,0.143028652,0.192041025,0.143100844,0.03509132,0.601553111
8t6W3ykG,-0.003307669,0.388974917,0.400126067,0.105105288,0.159276268,0.189678395,0.133531393,0.070617567,0.658208911
98l8KpqV,-0.03315338,0.29891372,0.248175264,0.077707374,0.157367841,0.264455222,0.32661387,0.2095173,1.035661606
9Ex5Byum,0.002010843,0.250003174,0.125694018,0.06084945,0.103810018,0.134619942,0.158886964,0.179937765,0.63810414
A5ya7RsN,-0.032909984,0.214569518,0.144795959,0.072311367,0.104880724,0.156830353,0.189952169,0.184922338,0.708896951
AA9IzAL1,0.004253966,0.351514593,0.228488465,0.079739452,0.146858725,0.240630566,0.31659672,0.335084311,1.118909774
AVXJQX9B,-0.042280287,0.223616682,0.13929407,0.063323069,0.109449579,0.159515299,0.197622402,0.273250371,0.80316072
Abnitm4V,-0.020231057,0.220748348,0.156376192,0.075508647,0.105301604,0.162125538,0.170860113,0.226184608,0.73998051
AnEq8Uph,-0.005711386,0.221114497,0.122288854,0.062012296,0.110702593,0.137612214,0.158536652,0.151834524,0.620698279
Aq75NMHO,-0.006194855,0.18132838,0.108909566,0.048901713,0.088840708,0.136733772,0.186769516,0.21224096,0.673486668
Ar8WVEB8,-0.070808889,0.296295987,0.258906872,0.10163152,0.122135514,0.126842404,0.102745158,0.100925919,0.554280515
Awp7L46g,-0.010426802,0.213355269,0.096645358,0.060792751,0.117478575,0.189287914,0.268574626,0.307572231,0.943706098
B0Su5xdm,-0.01719858,0.211296535,0.127893611,0.037923416,0.087428478,0.119704736,0.148713336,0.16931132,0.563081286
BFP7TMfA,0.005614481,0.268481629,0.162581245,0.089726748,0.129731969,0.185293327,0.212597442,0.296932832,0.914282318
BMBD4fpK,-0.111856635,0.357749032,0.259348213,0.085730092,0.153813696,0.248766656,0.353931458,0.402092424,1.244334325
BvPM57u7,-0.008642242,0.221439704,0.109096045,0.051839602,0.102010587,0.134202308,0.16170852,0.173609616,0.623370633
C5LRwSjU,-0.025035704,0.254391406,0.234676535,0.087534409,0.119627754,0.135324823,0.128668843,0.090514008,0.561669837
C5W4TIo7,-0.04799301,0.428339644,0.35772558,0.060567082,0.10795295,0.15765331,0.227481953,0.303865196,0.85752049
CAMRbQ1K,-0.001646612,0.260153079,0.202400471,0.084178585,0.166292719,0.262364264,0.338325805,0.45366721,1.304828583
CCBwJuQg,0.021387557,0.259314346,0.142739845,0.056542071,0.111269074,0.166028389,0.233193887,0.30378548,0.870818901
CWf3eyvo,-0.002648061,0.223127555,0.144489901,0.047230563,0.094253262,0.137109214,0.172855451,0.196351034,0.647799523
Cr8FATng,-0.088899514,0.189131846,0.141987194,0.086767392,0.14964504,0.247475652,0.253880177,0.228633044,0.966401305
CvpdKx9g,0.011708356,0.258390886,0.213511823,0.070531153,0.145353943,0.219823128,0.273932517,0.352282843,1.061923583
Cw8bz9tw,-0.021037984,0.210124361,0.159687243,0.068640623,0.137417707,0.188354758,0.254450456,0.3254224,0.974285943
DHAxflfI,-0.048111391,0.245623825,0.156167279,0.064706283,0.130048102,0.180151028,0.259825118,0.324461324,0.959191855
DVmTCuSO,-0.02583844,0.213365148,0.163381484,0.054724397,0.098621229,0.145605541,0.207525411,0.273113657,0.779590235
DckqPvXh,-0.004451924,0.193754119,0.126069942,0.075522327,0.112577402,0.163483715,0.198309419,0.195744577,0.74563744
Di0gPE0H,-0.072981283,0.243535121,0.19407141,0.069443342,0.1077714,0.16565646,0.228427579,0.212626906,0.783925689
Dkjr9F7k,-0.037654312,0.268209704,0.184154145,0.070819963,0.129007453,0.20449423,0.233310669,0.197825743,0.835458058
EHotqA24,-0.057101141,0.236702806,0.179425825,0.079404294,0.171335138,0.189647597,0.149531734,0.135036284,0.724955047
EL0qvt0M,-0.007650188,0.20834824,0.110817947,0.061585373,0.128072007,0.192638524,0.291298713,0.417299566,1.090894182
EQSaAnPk,-0.019004571,0.229837816,0.18806481,0.057761323,0.118372311,0.16056507,0.16882087,0.128342796,0.63386237
ESzlIzyO,-0.048634875,0.174680319,0.095286178,0.076049766,0.165116225,0.276954,0.286513165,0.175632569,0.980265725
EuMyzKCY,-0.122282732,0.48599367,0.382623001,0.086407899,0.164465958,0.218049769,0.261174496,0.278505481,1.008603602
F6PuVthQ,-0.207393444,0.170169711,0.105676761,0.062087457,0.126766467,0.20154528,0.277338202,0.305619773,0.973357178
FDrWmipp,-0.022267027,0.213621446,0.191252589,0.068001353,0.114544222,0.165514438,0.185281598,0.13630532,0.669646932
FDzVFOBn,-0.68206924,0.264321239,0.22030935,0.094507128,0.144986272,0.17030107,0.197435195,0.223143551,0.830373216
FWDyTLr2,-0.023204641,0.307964003,0.192354129,0.034568375,0.074953429,0.105153562,0.138378285,0.171781991,0.524835642
FsNM5n5s,-0.027663268,0.263625562,0.209982612,0.071548476,0.145763961,0.231195406,0.257186436,0.274436846,0.980131125
G0vvcncN,-0.009514262,0.161553937,0.104848945,0.068049937,0.150099358,0.228365495,0.238579359,0.266523847,0.951617996
GESYi2xq,-0.026027294,0.190264921,0.102593646,0.033250388,0.073077851,0.106157178,0.142076531,0.157680511,0.512242458
GITsdVy7,-0.086406775,0.281683628,0.243619099,0.062762041,0.132734694,0.225919743,0.303682414,0.37217913,1.097278023
GLKexPjc,-0.029338098,0.239976263,0.166290078,0.044656391,0.09398968,0.12907558,0.147483988,0.175129785,0.590335424
GWB9Uvrb,-0.019505555,0.177536575,0.110020154,0.038127454,0.083901927,0.117191994,0.160773221,0.181242725,0.58123732
GboPBbli,-0.021136733,0.168913789,0.116713506,0.06777337,0.119693256,0.155742614,0.180488376,0.141186444,0.66488406
GjPHiGli,-0.021670399,0.311854257,0.204209568,0.045558171,0.095287876,0.119775352,0.162966925,0.194488296,0.618076619
GwvQ3hpI,-0.017655325,0.221559849,0.15777183,0.050978247,0.096744071,0.14027474,0.191020702,0.248739099,0.727756858
H1SDVD0X,-0.079424945,0.186026873,0.113640357,0.049931161,0.090342993,0.145121992,0.191574762,0.240294566,0.717265475
HA57ijek,-0.037118658,0.182120441,0.109663911,0.05633295,0.108703356,0.168068619,0.234514489,0.310154928,0.877774342
HAKCEJWo,-0.00599767,0.289206426,0.177283136,0.027033031,0.059229492,0.08466777,0.114900359,0.151363284,0.437193935
HWfZASLi,-0.070682104,0.234104905,0.133807661,0.052223716,0.084151266,0.125649616,0.184225866,0.245373022,0.691623485
HpYl7dTS,-0.043725639,0.198590578,0.135760078,0.06154862,0.104629912,0.165334616,0.247669777,0.28563079,0.864813714
IpAvcDzr,-0.039912238,0.337383058,0.296731908,0.084474931,0.166247226,0.213500275,0.240808387,0.173663494,0.878694314
J8qdjHy8,-0.030251011,0.221325261,0.168362118,0.049322929,0.101908302,0.14432685,0.179850777,0.209857715,0.685266573
JFoDIM9T,-0.035808055,0.28505882,0.208241071,0.076727275,0.129168207,0.18050832,0.184596871,0.152016207,0.72301688
JKDP8D2e,0.011214405,0.285211742,0.224372808,0.119429275,0.197704214,0.286663224,0.364930925,0.427444015,1.396171653
JNh9mTC7,-0.013023031,0.225392792,0.11861541,0.05010747,0.090465717,0.127208583,0.161818894,0.182321557,0.611922222
JOmsdP6A,-0.040550347,0.432928377,0.328197741,0.051015932,0.106738013,0.144634667,0.189453528,0.234671056,0.726513196
JUvMRml6,-0.097475256,0.182044505,0.112009143,0.061789164,0.111142184,0.161368843,0.193835399,0.206576477,0.734712067
Jbr8myiV,-0.000198934,0.154430735,0.085330458,0.022361264,0.048880702,0.072563683,0.090554106,0.112071224,0.346430979
Je470A3u,-0.013585183,0.179655176,0.095935506,0.065054245,0.12360697,0.190978349,0.255859891,0.298044859,0.933544315
JoT31ute,-0.042468071,0.297343157,0.16835948,0.032440672,0.070874684,0.105062957,0.129411074,0.17651771,0.514307096
Jz7HcSm7,-0.058869054,0.267010054,0.239039315,0.081544092,0.139498048,0.202558914,0.197359434,0.12899212,0.749952607
K7pXSGJ9,0.002878255,0.381512602,0.316559193,0.054678963,0.097217675,0.131513228,0.175342708,0.222088513,0.680841088
KHDHZ4c5,-0.008957654,0.127097565,0.076530694,0.014460132,0.028530129,0.044278824,0.062063585,0.080427921,0.22976059
KNaNAjLP,-0.037127659,0.204315056,0.148320761,0.059271002,0.110075917,0.175518809,0.25187262,0.292432675,0.889171023
Kc2t70BJ,-0.179878018,0.181387511,0.103264755,0.07533999,0.141402006,0.22517342,0.276489532,0.339403357,1.057808306
KmpRQuJD,-0.031593501,0.217858761,0.130159817,0.059122866,0.098309189,0.150780062,0.173523167,0.21217452,0.693909805
KyINSk8e,-0.044050493,0.255142622,0.193126201,0.051947662,0.096968162,0.154943136,0.237723955,0.297754415,0.839337331
L2GIBJN1,-0.031389998,0.31975302,0.235091348,0.069086369,0.137494622,0.207484394,0.281251182,0.285881892,0.981198459
LAervIgm,0.015451521,0.308873787,0.243369609,0.071640064,0.132123537,0.20620155,0.249034965,0.326344059,0.985344175
M0sPVbHP,0.007756365,0.063760952,0.039937675,0.007805497,0.015274804,0.023111265,0.031758727,0.041395883,0.119346176
MKMvRw1P,-0.14201832,0.242547259,0.160446945,0.081795645,0.116983355,0.162147705,0.209992123,0.221121306,0.792040134
MSYVAPeM,0.007500537,0.183833929,0.111715196,0.077765986,0.131424452,0.168163347,0.282815883,0.190043603,0.85021327
MVWT4FfX,-0.01281848,0.290316194,0.191189835,0.053530393,0.096872566,0.142403823,0.197546764,0.246860078,0.737213624
MVZpHgro,0.039835588,0.323943935,0.22029994,0.061703788,0.105968451,0.171850257,0.237000586,0.313657559,0.89018064
MeABXs62,-0.060469412,0.309291283,0.226316851,0.062177798,0.128784461,0.153164973,0.15449157,0.099485551,0.598104352
MfzjZe52,-0.017212831,0.192793023,0.087972233,0.034412368,0.076813685,0.09938471,0.129682597,0.171514492,0.511807852
N6l5Ci6H,-0.007290117,0.259735412,0.155281674,0.060605213,0.09058523,0.129211731,0.171080626,0.202613387,0.654096187
NCK9pYwX,-0.018349029,0.240615801,0.162269627,0.060005931,0.120900302,0.202182763,0.262851001,0.311351817,0.957291814
Ni69ryle,-0.032246112,0.235300122,0.161120996,0.06795391,0.13945885,0.215421505,0.230709792,0.214656937,0.868200995
O21FTG3F,-0.020712138,0.248578978,0.149955456,0.041225327,0.091074659,0.116367607,0.13294206,0.139248961,0.520858613
O2Kvv0GJ,-0.017036259,0.233160807,0.186198663,0.053893273,0.096878741,0.148080216,0.182945582,0.209857715,0.691655526
OioJ5LuN,-0.036938722,0.249074957,0.231171693,0.082299762,0.137154585,0.21566222,0.256719847,0.183252222,0.875088636
Or1k3cMJ,-0.532561374,0.358041467,0.289650271,0.069734876,0.128008029,0.1270204,0.098225027,0.091318159,0.514306491
OuYG4U64,-0.05308693,0.204000244,0.174133884,0.057740583,0.109072536,0.159421024,0.197721928,0.169684973,0.693641044
