Left Knee Angle First Sit
Left Knee Min Sit2Stand
Left Knee Min Mean Stand2Sit
Left Knee Min Mean
Left Knee Min Mean Sit2Stand
Left Knee Min Stand2Sit
Speed Sd
Left Hip Sd
Right Hip Ang Vel Sit2Stand
Right Hip Ang Acc Sit2Stand
Left Hip Sd Stand2Sit
Right Hip Range Mean Stand2Sit
Right Hip Sd
Left Knee Range Mean Stand2Sit
Left Hip Range Mean Stand2Sit
Right Hip Sd Stand2Sit
Pelvic Avg Y Acc
Pelvic Avg Y Acc Sit2Stand
Pelvic Avg Y Acc Stand2Sit
